section,row_type,dataset_type,meeting_id,candidate_model,meeting_count,evaluator_run_count,accuracy_avg,completeness_avg,coverage_avg,accuracy_scores_by_evaluator,completeness_scores_by_evaluator,coverage_scores_by_evaluator,note,report_path
detail,meeting_model,city_council,t_232380390825704564563450343709460551188,gpt-51,,2,0.763,0.907,0.954,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.789, ""gpt-5-2025-08-07"": 0.737}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.893, ""gpt-5-2025-08-07"": 0.921}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.97, ""gpt-5-2025-08-07"": 0.939}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_232380390825704564563450343709460551188/offline/evaluation_report_standard_gpt-51.json
detail,meeting_model,city_council,t_232381829133992943343826921609078516359,gpt-41-mini,,2,0.588,0.812,0.794,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.647, ""gpt-5-2025-08-07"": 0.529}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.812, ""gpt-5-2025-08-07"": 0.813}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.824, ""gpt-5-2025-08-07"": 0.765}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_232381829133992943343826921609078516359/offline/evaluation_report_standard_gpt-41-mini.json
detail,meeting_model,city_council,t_232381829133992943343826921609078516359,gpt-5-mini,,2,0.517,0.886,0.853,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.567, ""gpt-5-2025-08-07"": 0.467}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.854, ""gpt-5-2025-08-07"": 0.918}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.882, ""gpt-5-2025-08-07"": 0.824}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_232381829133992943343826921609078516359/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,city_council,t_232381829133992943343826921609078516359,gpt-51,,2,0.584,0.881,0.824,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.611, ""gpt-5-2025-08-07"": 0.556}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.857, ""gpt-5-2025-08-07"": 0.906}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.824, ""gpt-5-2025-08-07"": 0.824}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_232381829133992943343826921609078516359/offline/evaluation_report_standard_gpt-51.json
detail,meeting_model,city_council,t_234540230487145439343255414917349168194,gpt-41-mini,,2,0.375,0.829,0.803,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.312, ""gpt-5-2025-08-07"": 0.438}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.809, ""gpt-5-2025-08-07"": 0.849}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.788, ""gpt-5-2025-08-07"": 0.818}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_234540230487145439343255414917349168194/offline/evaluation_report_standard_gpt-41-mini.json
detail,meeting_model,city_council,t_234540230487145439343255414917349168194,gpt-5-mini,,2,0.707,0.827,0.909,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.862, ""gpt-5-2025-08-07"": 0.552}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.825, ""gpt-5-2025-08-07"": 0.829}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.909, ""gpt-5-2025-08-07"": 0.909}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_234540230487145439343255414917349168194/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,city_council,t_234540230487145439343255414917349168194,gpt-51,,2,0.661,0.915,0.97,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.677, ""gpt-5-2025-08-07"": 0.645}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.895, ""gpt-5-2025-08-07"": 0.934}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 1.0, ""gpt-5-2025-08-07"": 0.939}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_234540230487145439343255414917349168194/offline/evaluation_report_standard_gpt-51.json
detail,meeting_model,city_council,t_24637292956148471653258107326847519677,gpt-41-mini,,2,0.834,0.768,0.85,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.8, ""gpt-5-2025-08-07"": 0.867}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.8, ""gpt-5-2025-08-07"": 0.737}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.8, ""gpt-5-2025-08-07"": 0.9}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_24637292956148471653258107326847519677/offline/evaluation_report_standard_gpt-41-mini.json
detail,meeting_model,city_council,t_24637292956148471653258107326847519677,gpt-5-mini,,2,0.861,0.929,1.0,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.889, ""gpt-5-2025-08-07"": 0.833}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.922, ""gpt-5-2025-08-07"": 0.937}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 1.0, ""gpt-5-2025-08-07"": 1.0}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_24637292956148471653258107326847519677/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,city_council,t_24637292956148471653258107326847519677,gpt-51,,2,0.705,0.915,0.8,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.773, ""gpt-5-2025-08-07"": 0.636}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.894, ""gpt-5-2025-08-07"": 0.936}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.8, ""gpt-5-2025-08-07"": 0.8}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_24637292956148471653258107326847519677/offline/evaluation_report_standard_gpt-51.json
